,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.635,0.789,7,-3.969,1,0.024,0.0249,1.73e-05,0.149,0.331,107.989,audio_features,2eMVogxm08LgfgnWpahooV,spotify:track:2eMVogxm08LgfgnWpahooV,https://api.spotify.com/v1/tracks/2eMVogxm08LgfgnWpahooV,https://api.spotify.com/v1/audio-analysis/2eMVogxm08LgfgnWpahooV,306333,4
1,0.674,0.413,2,-7.816,1,0.0274,0.836,1.95e-05,0.098,0.503,124.893,audio_features,5FPnjikbwlDMULCCCa6ZCJ,spotify:track:5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/tracks/5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/audio-analysis/5FPnjikbwlDMULCCCa6ZCJ,237907,3
2,0.665,0.841,5,-2.619,1,0.034,0.0377,0.000336,0.103,0.951,120.946,audio_features,3Ngl8Fn5UtCl2K7UD7EF9e,spotify:track:3Ngl8Fn5UtCl2K7UD7EF9e,https://api.spotify.com/v1/tracks/3Ngl8Fn5UtCl2K7UD7EF9e,https://api.spotify.com/v1/audio-analysis/3Ngl8Fn5UtCl2K7UD7EF9e,228907,4
3,0.582,0.395,10,-8.279,1,0.0274,0.551,0.000115,0.258,0.226,117.178,audio_features,2Jr39bnXx3WOUmdlI4S00f,spotify:track:2Jr39bnXx3WOUmdlI4S00f,https://api.spotify.com/v1/tracks/2Jr39bnXx3WOUmdlI4S00f,https://api.spotify.com/v1/audio-analysis/2Jr39bnXx3WOUmdlI4S00f,332827,4
4,0.269,0.734,5,-9.558,0,0.0365,0.148,0.00336,0.926,0.359,99.268,audio_features,0UVXkzxIKO5e4VXXM4ErjJ,spotify:track:0UVXkzxIKO5e4VXXM4ErjJ,https://api.spotify.com/v1/tracks/0UVXkzxIKO5e4VXXM4ErjJ,https://api.spotify.com/v1/audio-analysis/0UVXkzxIKO5e4VXXM4ErjJ,485227,4
5,0.434,0.908,9,-7.334,1,0.0452,0.108,6.61e-05,0.341,0.464,135.599,audio_features,2djWxCzgjnFvUbYZf4ep46,spotify:track:2djWxCzgjnFvUbYZf4ep46,https://api.spotify.com/v1/tracks/2djWxCzgjnFvUbYZf4ep46,https://api.spotify.com/v1/audio-analysis/2djWxCzgjnFvUbYZf4ep46,286267,4
6,0.431,0.936,6,-6.73,0,0.0449,0.0855,0.0337,0.843,0.652,105.684,audio_features,30pIk7qIOrhJsKnGuFSqzY,spotify:track:30pIk7qIOrhJsKnGuFSqzY,https://api.spotify.com/v1/tracks/30pIk7qIOrhJsKnGuFSqzY,https://api.spotify.com/v1/audio-analysis/30pIk7qIOrhJsKnGuFSqzY,276133,4
7,0.518,0.774,7,-6.633,1,0.0343,0.163,0.00534,0.949,0.579,133.525,audio_features,2gCr4ESYU3CrXbJ4vVRLjO,spotify:track:2gCr4ESYU3CrXbJ4vVRLjO,https://api.spotify.com/v1/tracks/2gCr4ESYU3CrXbJ4vVRLjO,https://api.spotify.com/v1/audio-analysis/2gCr4ESYU3CrXbJ4vVRLjO,311000,4
8,0.49,0.765,4,-7.54,1,0.0382,0.0708,0.00324,0.708,0.493,76.558,audio_features,0QWK9SwHslfeSrDSJXMI4M,spotify:track:0QWK9SwHslfeSrDSJXMI4M,https://api.spotify.com/v1/tracks/0QWK9SwHslfeSrDSJXMI4M,https://api.spotify.com/v1/audio-analysis/0QWK9SwHslfeSrDSJXMI4M,407467,4
9,0.438,0.315,4,-11.878,1,0.0345,0.803,0.00292,0.867,0.352,120.211,audio_features,2auWdKsT2wvdGIXjxBYvpS,spotify:track:2auWdKsT2wvdGIXjxBYvpS,https://api.spotify.com/v1/tracks/2auWdKsT2wvdGIXjxBYvpS,https://api.spotify.com/v1/audio-analysis/2auWdKsT2wvdGIXjxBYvpS,526307,3
10,0.527,0.509,9,-10.926,1,0.057,0.241,3.34e-06,0.573,0.449,129.972,audio_features,3ndvuL1lqZNTdb7yBxKQFR,spotify:track:3ndvuL1lqZNTdb7yBxKQFR,https://api.spotify.com/v1/tracks/3ndvuL1lqZNTdb7yBxKQFR,https://api.spotify.com/v1/audio-analysis/3ndvuL1lqZNTdb7yBxKQFR,306827,4
11,0.276,0.736,2,-8.824,1,0.0334,0.0698,8.64e-05,0.887,0.509,147.288,audio_features,3dC9btFVNotM5glH5pp3FG,spotify:track:3dC9btFVNotM5glH5pp3FG,https://api.spotify.com/v1/tracks/3dC9btFVNotM5glH5pp3FG,https://api.spotify.com/v1/audio-analysis/3dC9btFVNotM5glH5pp3FG,215707,4
12,0.376,0.717,7,-8.643,1,0.0383,0.0245,0.000211,0.848,0.579,98.337,audio_features,3URla9tUUZvizosMCHB0OV,spotify:track:3URla9tUUZvizosMCHB0OV,https://api.spotify.com/v1/tracks/3URla9tUUZvizosMCHB0OV,https://api.spotify.com/v1/audio-analysis/3URla9tUUZvizosMCHB0OV,504067,4
13,0.56,0.783,5,-7.511,1,0.0374,0.0399,0.0612,0.84,0.782,97.928,audio_features,0mPdhLVNOYqP9zwvb7uUIi,spotify:track:0mPdhLVNOYqP9zwvb7uUIi,https://api.spotify.com/v1/tracks/0mPdhLVNOYqP9zwvb7uUIi,https://api.spotify.com/v1/audio-analysis/0mPdhLVNOYqP9zwvb7uUIi,365693,4
14,0.465,0.842,2,-8.159,1,0.0386,0.112,0.000114,0.966,0.546,92.319,audio_features,1GLeSb7JwiSuIsXdrirkmU,spotify:track:1GLeSb7JwiSuIsXdrirkmU,https://api.spotify.com/v1/tracks/1GLeSb7JwiSuIsXdrirkmU,https://api.spotify.com/v1/audio-analysis/1GLeSb7JwiSuIsXdrirkmU,302267,4
15,0.445,0.523,10,-9.854,1,0.0316,0.0462,0.28,0.878,0.549,137.96,audio_features,74O2ijHJxPd6FJMgL6A4aq,spotify:track:74O2ijHJxPd6FJMgL6A4aq,https://api.spotify.com/v1/tracks/74O2ijHJxPd6FJMgL6A4aq,https://api.spotify.com/v1/audio-analysis/74O2ijHJxPd6FJMgL6A4aq,625173,4
16,0.435,0.843,2,-8.09,1,0.0516,0.0985,0.000276,0.821,0.602,130.312,audio_features,79Q12zPPmbgWwfH9KFCSvL,spotify:track:79Q12zPPmbgWwfH9KFCSvL,https://api.spotify.com/v1/tracks/79Q12zPPmbgWwfH9KFCSvL,https://api.spotify.com/v1/audio-analysis/79Q12zPPmbgWwfH9KFCSvL,449893,4
17,0.205,0.455,5,-11.298,1,0.039,0.507,7.2e-05,0.743,0.277,181.957,audio_features,4zmaLdhEGKtsbHmnF0BmZX,spotify:track:4zmaLdhEGKtsbHmnF0BmZX,https://api.spotify.com/v1/tracks/4zmaLdhEGKtsbHmnF0BmZX,https://api.spotify.com/v1/audio-analysis/4zmaLdhEGKtsbHmnF0BmZX,457267,3
18,0.487,0.796,5,-9.273,0,0.042,0.0411,0.453,0.508,0.726,107.416,audio_features,2Jqrf5JyW53Xnmk1QIvxYv,spotify:track:2Jqrf5JyW53Xnmk1QIvxYv,https://api.spotify.com/v1/tracks/2Jqrf5JyW53Xnmk1QIvxYv,https://api.spotify.com/v1/audio-analysis/2Jqrf5JyW53Xnmk1QIvxYv,622373,4
19,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,audio_features,6Vecwo7AHst9V2CE3kmwr0,spotify:track:6Vecwo7AHst9V2CE3kmwr0,https://api.spotify.com/v1/tracks/6Vecwo7AHst9V2CE3kmwr0,https://api.spotify.com/v1/audio-analysis/6Vecwo7AHst9V2CE3kmwr0,231467,4
