,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5898,0.706,0.83,2,-4.918,1,0.0274,0.00822,0.00112,0.0763,0.886,118.446,audio_features,3xrwXWG4O9uhtRyAd3MCou,spotify:track:3xrwXWG4O9uhtRyAd3MCou,https://api.spotify.com/v1/tracks/3xrwXWG4O9uhtRyAd3MCou,https://api.spotify.com/v1/audio-analysis/3xrwXWG4O9uhtRyAd3MCou,202296,4
5899,0.597,0.952,2,-5.293,1,0.051,0.00301,8.7e-05,0.789,0.841,107.117,audio_features,5CgihnZO9To8wj7ALOoTPD,spotify:track:5CgihnZO9To8wj7ALOoTPD,https://api.spotify.com/v1/tracks/5CgihnZO9To8wj7ALOoTPD,https://api.spotify.com/v1/audio-analysis/5CgihnZO9To8wj7ALOoTPD,239893,4
5900,0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,audio_features,73jVPicY2G9YHmzgjk69ae,spotify:track:73jVPicY2G9YHmzgjk69ae,https://api.spotify.com/v1/tracks/73jVPicY2G9YHmzgjk69ae,https://api.spotify.com/v1/audio-analysis/73jVPicY2G9YHmzgjk69ae,254510,4
5901,0.657,0.913,11,-4.984,1,0.0528,0.00392,0.00149,0.466,0.906,108.036,audio_features,5WSdMcWTKRdN1QYVJHJWxz,spotify:track:5WSdMcWTKRdN1QYVJHJWxz,https://api.spotify.com/v1/tracks/5WSdMcWTKRdN1QYVJHJWxz,https://api.spotify.com/v1/audio-analysis/5WSdMcWTKRdN1QYVJHJWxz,254620,4
5902,0.0803,0.264,6,-19.354,1,0.0406,0.919,0.885,0.0785,0.0787,177.465,audio_features,51riZSyEd0udB15JWjdcwn,spotify:track:51riZSyEd0udB15JWjdcwn,https://api.spotify.com/v1/tracks/51riZSyEd0udB15JWjdcwn,https://api.spotify.com/v1/audio-analysis/51riZSyEd0udB15JWjdcwn,79578,4
5903,0.62,0.851,4,-4.747,0,0.0352,0.00421,0.0,0.104,0.235,116.984,audio_features,562oeuAN5GH85iE7FQVKSB,spotify:track:562oeuAN5GH85iE7FQVKSB,https://api.spotify.com/v1/tracks/562oeuAN5GH85iE7FQVKSB,https://api.spotify.com/v1/audio-analysis/562oeuAN5GH85iE7FQVKSB,239252,4
5904,0.708,0.539,1,-10.28,1,0.0646,0.547,0.0174,0.0849,0.163,96.987,audio_features,3UH4JIDuP83866Y43bbo4k,spotify:track:3UH4JIDuP83866Y43bbo4k,https://api.spotify.com/v1/tracks/3UH4JIDuP83866Y43bbo4k,https://api.spotify.com/v1/audio-analysis/3UH4JIDuP83866Y43bbo4k,206738,4
5905,0.485,0.848,0,-7.065,1,0.0678,0.0473,0.000113,0.0718,0.463,99.064,audio_features,6NbsHKXnmHwrR7iLwddyxg,spotify:track:6NbsHKXnmHwrR7iLwddyxg,https://api.spotify.com/v1/tracks/6NbsHKXnmHwrR7iLwddyxg,https://api.spotify.com/v1/audio-analysis/6NbsHKXnmHwrR7iLwddyxg,221392,4
5906,0.347,0.0311,11,-19.26,1,0.0513,0.923,0.00112,0.0661,0.124,140.127,audio_features,5K5ZGCme5SkNLsM5EaXgzc,spotify:track:5K5ZGCme5SkNLsM5EaXgzc,https://api.spotify.com/v1/tracks/5K5ZGCme5SkNLsM5EaXgzc,https://api.spotify.com/v1/audio-analysis/5K5ZGCme5SkNLsM5EaXgzc,174221,4
5907,0.245,0.412,2,-14.227,1,0.0435,0.00113,0.472,0.218,0.0508,108.273,audio_features,2Z0GMIYxTHz0cL90PGwJaZ,spotify:track:2Z0GMIYxTHz0cL90PGwJaZ,https://api.spotify.com/v1/tracks/2Z0GMIYxTHz0cL90PGwJaZ,https://api.spotify.com/v1/audio-analysis/2Z0GMIYxTHz0cL90PGwJaZ,79907,4
5908,0.485,0.96,5,-4.882,1,0.0839,8.66e-05,0.000674,0.108,0.693,94.978,audio_features,0a612uSmQ7zXV54buD9LSn,spotify:track:0a612uSmQ7zXV54buD9LSn,https://api.spotify.com/v1/tracks/0a612uSmQ7zXV54buD9LSn,https://api.spotify.com/v1/audio-analysis/0a612uSmQ7zXV54buD9LSn,206893,4
