,external_urls,href,id,name,type,uri
0,{'spotify': 'https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1'},https://api.spotify.com/v1/artists/5SXuuuRpukkTvsLuUknva1,5SXuuuRpukkTvsLuUknva1,Baby Keem,artist,spotify:artist:5SXuuuRpukkTvsLuUknva1
1,{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
2,{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
3,{'spotify': 'https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy'},https://api.spotify.com/v1/artists/0ONHkAv9pCAFxb0zJwDNTy,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,artist,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy
4,{'spotify': 'https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7'},https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,artist,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
5,{'spotify': 'https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4'},https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,artist,spotify:artist:15UsOTVnJzReFVN1VCnxy4
6,{'spotify': 'https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz'},https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,artist,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
