,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.531,0.816,10,-4.24,0,0.102,0.421,0.000321,0.475,0.31,153.974,audio_features,3egj44N2tiuW5F2MrqmBjW,spotify:track:3egj44N2tiuW5F2MrqmBjW,https://api.spotify.com/v1/tracks/3egj44N2tiuW5F2MrqmBjW,https://api.spotify.com/v1/audio-analysis/3egj44N2tiuW5F2MrqmBjW,180779,4
1,0.687,0.758,5,-5.285,0,0.0564,0.109,7.01e-05,0.185,0.441,91.911,audio_features,1WAWbKpQe3XMp4b96bjazD,spotify:track:1WAWbKpQe3XMp4b96bjazD,https://api.spotify.com/v1/tracks/1WAWbKpQe3XMp4b96bjazD,https://api.spotify.com/v1/audio-analysis/1WAWbKpQe3XMp4b96bjazD,205000,4
2,0.746,0.944,8,-5.525,0,0.246,0.00208,0.341,0.169,0.533,140.108,audio_features,1HFIgvDlSCjC95Ch6h6gF7,spotify:track:1HFIgvDlSCjC95Ch6h6gF7,https://api.spotify.com/v1/tracks/1HFIgvDlSCjC95Ch6h6gF7,https://api.spotify.com/v1/audio-analysis/1HFIgvDlSCjC95Ch6h6gF7,195097,4
3,0.433,0.668,6,-7.694,1,0.0443,0.00947,0.0,0.113,0.324,100.008,audio_features,0mEYJIIBcUt2GH4ftYKJ5Q,spotify:track:0mEYJIIBcUt2GH4ftYKJ5Q,https://api.spotify.com/v1/tracks/0mEYJIIBcUt2GH4ftYKJ5Q,https://api.spotify.com/v1/audio-analysis/0mEYJIIBcUt2GH4ftYKJ5Q,223765,4
4,0.635,0.844,4,-6.086,1,0.097,0.137,0.331,0.379,0.22,75.031,audio_features,0vQ5VW753vuqUdi4mipjVl,spotify:track:0vQ5VW753vuqUdi4mipjVl,https://api.spotify.com/v1/tracks/0vQ5VW753vuqUdi4mipjVl,https://api.spotify.com/v1/audio-analysis/0vQ5VW753vuqUdi4mipjVl,219200,4
5,0.7,0.876,1,-5.459,0,0.237,0.0329,0.163,0.109,0.573,169.979,audio_features,6zNzQ5d5dPVYL4X5RI6yVX,spotify:track:6zNzQ5d5dPVYL4X5RI6yVX,https://api.spotify.com/v1/tracks/6zNzQ5d5dPVYL4X5RI6yVX,https://api.spotify.com/v1/audio-analysis/6zNzQ5d5dPVYL4X5RI6yVX,146827,4
6,0.288,0.484,7,-11.033,0,0.0719,0.0737,0.000233,0.0976,0.497,73.54,audio_features,5xukKZHX6JAWLPTJJ72Npy,spotify:track:5xukKZHX6JAWLPTJJ72Npy,https://api.spotify.com/v1/tracks/5xukKZHX6JAWLPTJJ72Npy,https://api.spotify.com/v1/audio-analysis/5xukKZHX6JAWLPTJJ72Npy,235102,4
7,0.6,0.934,1,-3.471,0,0.0372,0.0387,0.22,0.115,0.242,96.007,audio_features,1MCEQgT6EVTOBqqHCIfOM3,spotify:track:1MCEQgT6EVTOBqqHCIfOM3,https://api.spotify.com/v1/tracks/1MCEQgT6EVTOBqqHCIfOM3,https://api.spotify.com/v1/audio-analysis/1MCEQgT6EVTOBqqHCIfOM3,192395,4
8,0.796,0.617,11,-7.55,1,0.0723,0.00273,0.0278,0.366,0.317,126.014,audio_features,2MNbmgsh4fq2vRdBjDnyLv,spotify:track:2MNbmgsh4fq2vRdBjDnyLv,https://api.spotify.com/v1/tracks/2MNbmgsh4fq2vRdBjDnyLv,https://api.spotify.com/v1/audio-analysis/2MNbmgsh4fq2vRdBjDnyLv,284286,4
9,0.518,0.819,10,-4.256,0,0.105,0.43,0.000306,0.475,0.305,153.934,audio_features,2nje8Hy7ZewiE4JPnYdPOi,spotify:track:2nje8Hy7ZewiE4JPnYdPOi,https://api.spotify.com/v1/tracks/2nje8Hy7ZewiE4JPnYdPOi,https://api.spotify.com/v1/audio-analysis/2nje8Hy7ZewiE4JPnYdPOi,180779,4
