Name,Values
Laura Jones,"['broadway', 'hollywood', 'show tunes']"
Alan Morris,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
André Visior,"['german trance', 'progressive trance', 'uplifting trance']"
Mike Efex,[]
Octave Minds,[]
Wrekonize,"['hip hop', 'kansas city hip hop', 'pop rap']"
MNEK,"['dance pop', 'pop', 'pop dance', 'tropical house', 'uk dance']"
Tommy Baynen,"['finnish edm', 'progressive uplifting trance']"
Ciaran McAuley,"['irish electronic', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
CSS,"['alternative dance', 'dance-punk', 'electroclash', 'electronica', 'new rave']"
David Guetta - will.i.am,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Mohamed Ragab,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Ava Max,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Muska,"['nepali indie', 'nepali pop']"
Tasadi,[]
Billy Gillies,"['progressive uplifting trance', 'tech trance', 'uplifting trance']"
Lykke Li,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']"
Choujaa,[]
Uforik,[]
Hausman,"['progressive house', 'progressive trance']"
Sorsari,"['vapor twitch', 'wave', 'witch house']"
All Living Things,[]
Platen,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
i_o,"['art pop', 'canadian electropop', 'dance pop', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Monada,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
SounEmot,[]
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
Adam Foley,"['celtic', 'irish flute', 'irish folk', 'irish neo-traditional']"
Madis,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
Resistance,"['modern rock', 'permanent wave', 'rock']"
Cypress Hill featuring Prodigy and Twin,"['chicano rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'rap rock', 'west coast rap']"
Metta & Glyde,"['progressive uplifting trance', 'tech trance', 'uplifting trance']"
Taufiq Azam,[]
André Sobota,"['minimal melodic techno', 'progressive house', 'progressive trance house']"
FeR BR,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']"
NAV,['alternative r&b']
Sam Bagira,[]
Kolonie,"['edm', 'progressive house', 'progressive trance', 'progressive trance house']"
Far Too Loud,"['brostep', 'canadian electronic', 'dark clubbing', 'dubstep', 'edm', 'electro house', 'electro trash', 'electronic trap']"
Tom Reed,"['abstract', 'ambient', 'drill and bass', 'electronica', 'intelligent dance music', 'microhouse', 'ninja', 'trip hop']"
Spooky Cowboy,[]
Tekla Bądarzewska-Baranowska,"['early romantic era', 'polish classical']"
Alan Cerra,['focus trance']
Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
Alex O’rion,"['progressive house', 'progressive trance', 'progressive trance house']"
Plays,['philly indie']
Sergey Shabanov,[]
Onipa,['movie tunes']
Holl,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
Benny Benassi feat. Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
HP Source,"['belgian dance', 'bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Free State,[]
Dennis Graft,"['progressive trance', 'russian trance']"
Kiholm,"['hawaiian', 'slack-key guitar']"
Thomas Hayes,['pop edm']
PROFF,"['progressive house', 'progressive trance', 'progressive trance house', 'trance', 'uplifting trance']"
Brass Knuckles,"['brass band', 'brass ensemble', 'second line', 'street band']"
Dr Phunk,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'slap house']"
DJ Buckz,"['afro soul', 'amapiano', 'south african pop']"
Under,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Super8 and Tab featuring Jan Burton,"['edm', 'finnish edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Diagenetic,[]
Alex Pizzuti,[]
Chicane,"['bass trap', 'dubstep', 'electro house', 'electronic trap', 'vapor twitch']"
D. Diggler,['drill']
Annabel,"['alt z', 'dream smp', 'electropop', 'pop']"
CNCO,"['boy band', 'latin', 'latin pop', 'reggaeton']"
Astuni,['broadway']
Pépe,"['latin talent show', 'mariachi', 'ranchera']"
Redman,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
Gene Krupa and his All Star Swing Band,[]
John Altenburgh,[]
Cetera,"['adult standards', 'mellow gold', 'new wave pop', 'soft rock']"
Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']"
KDrew,"['brostep', 'complextro', 'edm', 'electro house', 'gaming edm', 'melodic dubstep']"
Benny Benassi feat. Ying Yang Twins,"['edm', 'electro house', 'pop dance']"
Ringo Starr,"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']"
Beyoncé,"['dance pop', 'pop', 'r&b']"
Thomas Chong,['caucasian classical']
The Advent,"['hip hop', 'ohio hip hop', 'rap']"
Epos,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Alex Schulz,"['deep house', 'deep tropical house', 'pop dance', 'pop edm', 'tropical house']"
Trace,[]
Laidback Luke,"['edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']"
Copini,['alt z']
Anske,"['hip hop', 'rap']"
Corey Taylor,"['alternative metal', 'alternative rock', 'nu metal']"
Mozambo,"['edm', 'new french touch', 'pop dance', 'tropical house']"
NADEJ,[]
Igor Levit,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
Analog Sol,[]
Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock']"
Golden Sky,['reggae rock']
Eldream,"['progressive house', 'progressive uplifting trance', 'russian trance', 'trance']"
Cage The Elephant,"['modern rock', 'punk blues', 'rock']"
I-Robots,"['ambient worship', 'anthem worship', 'christian pop', 'instrumental worship']"
Fabio XB,"['deep uplifting trance', 'italian trance', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Alexey Sonar,[]
Sauti Sol,"['afropop', 'azontobeats', 'benga', 'gengetone', 'kenyan pop']"
Danny Eaton,[]
Beat Service,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Digital Farm Animals,"['hopebeat', 'indie poptimism', 'metropopolis', 'neo-synthpop', 'nyc pop', 'shimmer pop', 'vapor soul']"
Fischer & Miethig,[]
Luke Bond,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
OTIOT,[]
The Quest,"['hip hop', 'pittsburgh rap', 'rap']"
DJ Afrojack,[]
Kill The Noise,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']"
Exolight,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
PUP,['indie pop']
Matt Lange,"['progressive house', 'progressive trance', 'progressive trance house']"
Adam Taylor,[]
Simon Bostock,"['big beat', 'trance']"
Rod Stewart,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Wooli,"['dubstep', 'edm', 'electro house', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive trance']"
Abstract Vision,"['deep uplifting trance', 'progressive trance', 'progressive uplifting trance', 'russian trance', 'trance', 'uplifting trance']"
Tom Waits,"['folk', 'folk rock', 'roots rock', 'singer-songwriter']"
Rich Brian,"['canadian hip hop', 'dark trap', 'vapor trap']"
Whethan,"['edm', 'electropop', 'indie poptimism', 'vapor soul', 'vapor twitch']"
Archie Bell & The Drells,"['classic soul', 'disco', 'funk', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']"
Yohan Warren,[]
Raz Simone,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'seattle hip hop']"
CNCO,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
Overnight Oats,['chill beats']
Simon Lee & Alvin,[]
Nox Vahn,['progressive house']
KDrew,"['brostep', 'complextro', 'edm', 'electro house', 'gaming edm', 'melodic dubstep']"
Iversoon & Alex Daf,[]
Paul Barbarin,"['brass band', 'second line']"
Tong,"['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']"
Mohamed Bahi,[]
Michael Calfan,"['dance pop', 'deep groove house', 'deep house', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
Lil Wyte,"['country rap', 'crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'pop rap', 'redneck', 'southern hip hop', 'trap']"
Awii,[]
Alex Schulz,"['deep house', 'deep tropical house', 'pop dance', 'pop edm', 'tropical house']"
Cygnus X,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']"
Choopie and Shmuel,[]
Copini,['alt z']
Nikolauss,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
YUNGBLUD,"['ohio hip hop', 'pop rap']"
PYFER,"['edm', 'electro house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
MVMB,['latin pop']
Dave Winnel,[]
Maor Levi,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Orkestrated,"['deep minimal techno', 'melbourne bounce', 'melbourne bounce international']"
Mark Eteson,['vocal trance']
The Decemberists,"['alternative rock', 'anti-folk', 'baroque pop', 'canadian indie', 'chamber pop', 'indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'stomp and holler']"
Chet Faker,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
Bandēs,"['cali rap', 'trap', 'underground hip hop', 'vapor trap']"
HEALTH,"[""preschool children's music""]"
Craving and Howe,"['australian pop', 'australian talent show', 'deep talent show']"
Billy Gillies,"['progressive uplifting trance', 'tech trance', 'uplifting trance']"
Tritonal feat. Cristina Soto,[]
ToTheMoon,[]
The Chain Gang Of 1974,"['chillwave', 'indie poptimism', 'shimmer pop']"
Sultan + Shepard,"['canadian electronic', 'edm', 'progressive house', 'tropical house']"
Flynn & Denton,[]
Timmy Vegas,['classic bhangra']
D33J,"['alternative r&b', 'viral pop']"
"""John OCallaghan""","['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Myon & Shane 54,[]
Dr. John,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'funk', 'jazz blues', 'louisiana blues', 'new orleans blues', 'piano blues', 'roots rock', 'soul']"
Black Box,"['diva house', 'eurodance', 'europop', 'hip house', 'italo house', 'new wave pop', 'vocal house']"
Matt Bowdidge,['progressive uplifting trance']
Nic Chagall,"['progressive house', 'trance', 'uplifting trance']"
Shingo Nakamura,"['japanese progressive house', 'progressive house', 'progressive trance house']"
John Lennon,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
The Chills,['utah indie']
"""Jon OBir""",[]
SEQU3L,"['sad lo-fi', 'slowed and reverb']"
Will Rees,[]
Woodkid,['chamber pop']
Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Goldie,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Black Arabs,[]
Future,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Monkey Safari,"['deep euro house', 'electronica', 'organic house', 'tech house', 'tropical house']"
Humate,"['acid trance', 'dream trance', 'german trance']"
Third World Don,[]
Paolo Nutini,"['british soul', 'neo mellow', 'scottish singer-songwriter']"
Monstergetdown,[]
Kepha Peter Martin,[]
Trance Wax,"['progressive house', 'progressive trance']"
Magnus,"['contemporary jazz', 'contemporary vocal jazz', 'indie jazz', 'jazz', 'vocal jazz']"
TV Rock,['indie pop']
Slum Science,['deep funk house']
ATB presents Amurai,['orthodox chant']
Gotye,['australian pop']
Mino Safy,[]
MOTi,"['indie pop', 'la indie']"
Kyau & Albert,"['german techno', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Fever Ray,"['alternative dance', 'art pop', 'dark pop', 'electronica', 'electropop', 'swedish electropop', 'swedish synth', 'swedish synthpop']"
Phillip Castle,[]
Jstone,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Gordey Tsukanov,[]
Temper Trap,"['alternative dance', 'australian indie', 'indie rock', 'modern rock', 'pop rock']"
David Surok,[]
Max Richter,"['compositional ambient', 'post-minimalism']"
Ramsey,['indie hip hop']
Sunset,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
Mike Efex,[]
Little Mix,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
Low f Signal,[]
Martin Rev,['no wave']
George Lewis,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
Timmy Trumpet,"['australian dance', 'big room', 'dance pop', 'edm', 'melbourne bounce', 'melbourne bounce international', 'pop dance']"
Obie Fernandez,[]
Eugenio Tokarev,"['progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
I-Robots,"['ambient worship', 'anthem worship', 'christian pop', 'instrumental worship']"
Kit Connor,['hollywood']
Gogol Bordello,['gypsy punk']
Slim Tim,['atl trap']
Margot,"['indie pop', 'indie rock', 'indy indie', 'stomp and holler']"
Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
Taufiq Azam,[]
Joachim Garraud,['electro house']
AUDREY NUNA,"['chill r&b', 'indie r&b', 'modern indie pop']"
Ritmo,"['dance pop', 'pop', 'pop rap']"
Murs,"['background piano', 'neo-classical']"
Tommie Sunshine,"['dance pop', 'pop', 'post-teen pop']"
Ratchet Roach,['dark trap']
NAV,['alternative r&b']
Ben Ashley,[]
Dorothy Fields,['broadway']
Two Door Cinema Club,"['indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']"
Rophnan,"['amharic pop', 'ethiopian pop']"
Serge Macoveu,[]
Charli XCX,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
Zaxx,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Yogi,['binaural']
Patricia Holmberg,"['american romanticism', 'late romantic era']"
Fuenka,"['progressive house', 'progressive trance']"
Danny Dove,[]
Guided Meditation,['guided meditation']
James Cottle,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Lucid Luv,[]
FJØRA,['dark pop']
Annabel,"['alt z', 'dream smp', 'electropop', 'pop']"
Effective Force,[]
Bogdan Vix,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
Z.Tao,"['chinese electropop', 'chinese idol pop', 'mandopop']"
Rumuzik,[]
Estiva,"['pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Veracocha,"['dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Basic Dawn,[]
Cold Blue,['german pop']
Ferreck Dawn,"['deep groove house', 'deep house', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
King & Early,[]
Loukianos Kilaidonis,"['classic greek pop', 'entehno', 'greek indie']"
Mako,"['alternative hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']"
Julianne Moore,[]
K Shiday,[]
X&G,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
Robert Curtis,[]
Lil Keed,"['melodic rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
BOBBY,"['nyc rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Sunny Clapp,"['adult standards', 'big band', 'lounge', 'stride', 'swing', 'tin pan alley', 'vintage jazz', 'vocal jazz']"
Jus Jack,"['indie pop', 'weirdcore']"
ATB with Amurai,"['german dance', 'german techno', 'german trance', 'trance']"
Meditation & Stress Relief Therapy,['meditation']
Daijo,[]
Jorge & Mateus,"['arrocha', 'sertanejo', 'sertanejo universitario']"
Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']"
Felix Da Housecat,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']"
Martin Graff,[]
Tristan D,"['classical', 'german opera', 'german romanticism', 'late romantic era']"
Dotan,"['dutch pop', 'dutch rock', 'folk-pop']"
Hidden Face,[]
Above & Beyond,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Kevin Charm,[]
JAY-Z,"['east coast hip hop', 'hip hop', 'rap']"
Ariscan,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Genesis,"['art pop', 'canadian electropop', 'dance pop', 'electropop', 'grave wave', 'indietronica', 'metropopolis', 'pop']"
Raz Nitzan,['progressive trance']
LöKii,[]
Clayton & Romário,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
DKING,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Marco Torrance,[]
Harri Kangas,"['classic finnish pop', 'classic finnish rock']"
Trace,[]
Scott James,[]
LTN,[]
Voices,"['alternative metal', 'metalcore', 'screamo']"
Dorian Concept,"['ninja', 'progressive jazz fusion', 'wonky']"
Dee Conaghan,[]
juuku,"['future bass', 'vapor twitch']"
Paper Diamond,['glitch hop']
Prince Club,['canadian house']
Dick Howard,[]
Khalid,"['art pop', 'electropop', 'pop']"
The C90s,['nu disco']
Wolfpack,"['metal', 'power metal', 'swedish metal', 'swedish power metal']"
Johnny E,"['metalcore', 'post-post-hardcore', 'post-screamo', 'screamo', 'trancecore']"
Eco,"['classical', 'early romantic era', 'polish classical']"
Speed DJ,[]
Dan Kashtan,[]
Cuebrick,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'slap house']"
Sidney Samson,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
Dennis Pedersen,"['chillstep', 'dancefloor dnb', 'drum and bass', 'dutch dnb', 'liquid funk']"
Ben Nicky,['hard trance']
Spy,"['glitchcore', 'viral rap']"
Eddie Murray,"['new age', 'vocal trance']"
Yotto,"['finnish edm', 'progressive house']"
YB,"['alabama rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']"
Leroy Carr,"['acoustic blues', 'barrelhouse piano', 'blues', 'boogie-woogie', 'piano blues', 'traditional blues']"
Kill The Noise,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']"
Jonathan Carvajal,['tech trance']
Laura Jones,"['broadway', 'hollywood', 'show tunes']"
Dave Bixby,['psychedelic folk']
The Floozies,"['jam band', 'lawrence ks indie']"
Paronator,['progressive trance house']
Avicii - David Guetta,[]
M-3ox,['progressive electro house']
Joel Gershom,[]
Echos,"['dance pop', 'electropop', 'indie poptimism', 'pop rock']"
Miika Kuisma,[]
Foogiano,"['rap', 'southern hip hop', 'trap']"
Allure feat. JES,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']"
Michael,"['pop', 'r&b', 'soul']"
Ani DiFranco,"['anti-folk', 'buffalo ny indie', 'ectofolk', 'folk', 'lilith', 'pop rock', 'singer-songwriter', ""women's music""]"
JD McCrary,[]
Analog Sol,[]
Sleepy Brown,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Mimi Page,"['bass music', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
CAIN,"['alt z', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'la pop']"
Jaxx & Vega,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
Silk Android,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Chris SX,[]
Made Of Light,"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]"
Zacari,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
K.Flay,"['electropop', 'escape room', 'hip pop', 'modern rock', 'pop', 'rock']"
Dosem,['progressive house']
Anunnakis,"['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']"
Gascar,"['trap boricua', 'trap latino', 'trap triste']"
Anita Briem,[]
The Word Alive,"['melodic metalcore', 'metalcore', 'post-screamo', 'screamo', 'trancecore']"
Darrein Safron,"['country rap', 'kansas city hip hop', 'pop rap']"
Johann Sebastian Bach,"['baroque', 'classical', 'early music', 'german baroque']"
Chambray,['brooklyn indie']
Sebz,"['colombian pop', 'latin', 'reggaeton colombiano']"
Holl,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
Ashe,['social media pop']
Kill The Buzz & Harrison,[]
Frayser Boy,"['crunk', 'dirty south rap', 'gangster rap', 'houston rap', 'memphis hip hop', 'southern hip hop', 'trap']"
Whois,['contemporary country']
Chris Lauer,[]
Sub Zero Project,"['euphoric hardstyle', 'rawstyle']"
Ava Max,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
One Release,[]
Sorsari,"['vapor twitch', 'wave', 'witch house']"
Josie Cotton,[]
Afternova,[]
Phunk Investigation,[]
Edvard Grieg,"['classical', 'late romantic era', 'norwegian classical']"
Edward Ory,[]
Robert Bruce,['musique militaire']
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'rock']"
Matt Darey,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
Rio Lorenzo,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']"
Fferd Tobing,[]
Blackcode,"['big room', 'pop edm', 'progressive electro house', 'sky room']"
Creedence Clearwater Revival,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
Anne-Marie,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
Sam Bagira,[]
KAASI,['indie soul']
Claude Debussy,"['classical', 'impressionism', 'post-romantic era']"
Portugal. The Man,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
warner case,[]
Avenia,['russian trance']
Walden,"['deep new americana', 'indie pop']"
Tanger,"['gauze pop', 'indietronica', 'shiver pop']"
Agoria,"['electronica', 'french indietronica', 'microhouse', 'minimal techno', 'new french touch', 'tech house']"
Zip Zip Through The Night,"['edm', 'electro house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
Mateusz,[]
A-P-M Productions,[]
Benny Benassi feat. Ying Yang Twins,"['edm', 'electro house', 'pop dance']"
Nile Rodgers,"['electro', 'filter house']"
Andreas Moe,"['swedish indie pop', 'swedish pop', 'swedish singer-songwriter']"
Showtek,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Pauline Anna Strom,"['electra', 'fourth world']"
Paul Thomas,"['progressive house', 'progressive trance']"
Airo,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']"
Amos & Riot Night,[]
Cypress Hill featuring Damian Marley,"['chicano rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'rap rock', 'west coast rap']"
Mark Norman,['new comedy']
Alex Wright,[]
Charlie Darker,['electro house']
Funkagenda,"['progressive house', 'progressive trance']"
Mark Fry,"['british folk', 'psychedelic folk']"
Andski,"['contemporary country', 'country', 'country road']"
Radion6,"['progressive trance', 'progressive uplifting trance']"
Adventure Club,"['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
MARC BAZ,[]
Jordin Post,"['progressive house', 'progressive trance']"
Monoverse,"['progressive house', 'progressive trance', 'progressive trance house', 'serbian electronic']"
The Rogue Element,"['big beat', 'breakbeat', 'nu skool breaks']"
Tritonal Feat. Meredith Call,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
Fictivision,[]
Benny Goodman Tentette,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
Quintino,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'slap house']"
Craig Connelly,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Norin & Rad Vs. Audien,[]
SØNIN,"['afro house', 'afro soul', 'south african alternative', 'south african pop', 'south african pop dance']"
BLR,"['memphis hip hop', 'southern hip hop', 'trap']"
Kid Ory,"['big band', 'boogie-woogie', 'jazz trombone', 'modern swing', 'new orleans jazz', 'ragtime', 'stride', 'swing']"
Nihil Young,['deep tropical house']
Sevenn,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Beyoncé,"['dance pop', 'pop', 'r&b']"
Madeon,"['complextro', 'edm', 'progressive electro house']"
Felix Mendelssohn,"['classical', 'early romantic era', 'german romanticism']"
Orkidea,[]
Beyoncé Knowles Carter,[]
Arcade Player,[]
Jonah,"['chicago rap', 'rap']"
Dan Thompson,"['progressive house', 'progressive trance', 'trance', 'uplifting trance', 'vocal trance']"
Luna Semara,[]
Nari & Milani,[]
Ten Ven,"['austrian pop', 'deep house', 'new french touch', 'tropical house']"
Morgan Page,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
Ahmet Atasever,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Lilly Wood and The Prick,"['french indie pop', 'french rock']"
Memento,"['alternative metal', 'groove metal', 'melodic metalcore', 'metal', 'metalcore', 'nu metal', 'virginia metal']"
Jenaux,"['edm', 'electro house', 'melodic dubstep', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
Florence + The Machine,"['baroque pop', 'pop', 'uk alternative pop']"
Maurice Lekkerkerker,[]
Billy Newton-Davis,[]
Artisan,['rap algerien']
Alex Metric,"['aussietronica', 'indie soul']"
Katoff,[]
Jacob Van Hage,"['dutch edm', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'sky room']"
Theo Kottis,['uk house']
Matan Caspi,"['focus trance', 'organic house', 'progressive house', 'progressive trance house']"
Benny Goodman Sextet,"['adult standards', 'big band', 'jazz', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vintage jazz', 'vocal jazz']"
Boris Foong,"['progressive house', 'progressive trance', 'progressive trance house', 'progressive uplifting trance', 'trance', 'uplifting trance']"
Clay C,"['anti-folk', 'canadian indie folk', 'small room']"
Amandla Stenberg,[]
George FitzGerald,"['electronica', 'future garage', 'indie soul', 'uk bass']"
DJ Wag,"['bubble trance', 'hard trance']"
Built By Titan,"['cedm', 'christian pop']"
Marcus Santoro,"['big room', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
Dave Gahan,"['alternative dance', 'new romantic', 'new wave', 'synthpop']"
Elysian,"['dark trap', 'new orleans rap', 'underground hip hop']"
Local Dialect,[]
Pierce Fulton,"['complextro', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
Kelsey Grammer,"['broadway', 'show tunes']"
Vince Schuld,[]
Kobana,[]
