Name,Values
Marco Bailey,"['belgian techno', 'tech house', 'techno']"
P8,[]
Three Drives On A Vinyl,['trance']
Sheena Lee,[]
Leonard Bernstein,"['classical', 'classical era']"
Arias,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']"
Charlie Feathers,"['rock-and-roll', 'rockabilly', 'surf music']"
Simon Hinter,[]
D.E.R.,[]
Cressida,"['pinoy alternative rap', 'pinoy hip hop', 'tagalog rap']"
Benny Goodman Bigband,[]
alt-J,"['indie rock', 'modern rock']"
Gangsta Boo,"['dirty south rap', 'gangster rap', 'hip pop', 'memphis hip hop', 'southern hip hop', 'trap']"
Daniel Wanrooy,['progressive trance']
Jimmie Allen,"['black americana', 'contemporary country']"
Mitski,['brooklyn indie']
SILVELA,['contemporary country']
Gucci Mane,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kyau,"['german techno', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
DR. KUCHO!,[]
Cold Rush,"['corrosion', 'vocal trance']"
HEALTH,"[""preschool children's music""]"
Steve Aoki,"['k-pop', 'k-pop boy group']"
Bea Miller,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pop', 'post-teen pop', 'talent show']"
System F,['uk hip hop']
Vaitor,['pittsburgh indie']
Vadim Soloviev,[]
Marsh,"['chicago rap', 'melodic rap']"
Rafael Osmo,[]
"""OCallaghan & Kearney""",[]
Elena Kats-Chernin,"['australian classical', 'australian classical piano']"
Claud,"['alt z', 'electropop', 'la indie', 'pop']"
Ha*Ash,"['alt z', 'electropop', 'escape room', 'pop']"
G. Austin,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Will Sea,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']"
Suncatcher,['progressive trance']
Vasily Goodkov,[]
Rise Against,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'punk']"
Olly Murs,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']"
Tomy DeClerque,"['house', 'schranz', 'tech house', 'uk tech house']"
KBK,['persian hip hop']
One Release,[]
UDM,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
D-wayne VS Jacob van Hage,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
